Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 30-Aug-2023 at 13:49:06.
RAAW-GE Tower                                                                                      
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.77188E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	 0.000002	 0.001184	 0.000000	 0.000000	 0.000000
 0.0104	 0.000017	 0.003535	 0.000000	 0.000000	 0.000000
 0.0174	 0.000046	 0.005863	 0.000000	 0.000000	 0.000000
 0.0244	 0.000090	 0.008166	 0.000000	 0.000000	 0.000000
 0.0313	 0.000148	 0.010446	 0.000000	 0.000000	 0.000000
 0.0383	 0.000220	 0.012701	 0.000000	 0.000000	 0.000000
 0.0453	 0.000306	 0.014933	 0.000000	 0.000000	 0.000000
 0.0522	 0.000406	 0.017141	 0.000000	 0.000000	 0.000000
 0.0592	 0.000520	 0.019326	 0.000000	 0.000000	 0.000000
 0.0662	 0.000647	 0.021486	 0.000000	 0.000000	 0.000000
 0.0731	 0.000788	 0.023623	 0.000000	 0.000000	 0.000000
 0.0801	 0.000942	 0.025736	 0.000000	 0.000000	 0.000000
 0.0870	 0.001109	 0.027825	 0.000000	 0.000000	 0.000000
 0.0940	 0.001290	 0.029890	 0.000000	 0.000000	 0.000000
 0.1010	 0.001482	 0.031932	 0.000000	 0.000000	 0.000000
 0.1079	 0.001689	 0.034118	 0.000000	 0.000000	 0.000000
 0.1149	 0.001908	 0.036281	 0.000000	 0.000000	 0.000000
 0.1219	 0.002141	 0.038423	 0.000000	 0.000000	 0.000000
 0.1288	 0.002388	 0.040541	 0.000000	 0.000000	 0.000000
 0.1358	 0.002647	 0.042637	 0.000000	 0.000000	 0.000000
 0.1399	 0.002806	 0.043863	 0.000000	 0.000000	 0.000000
 0.1497	 0.003205	 0.046762	 0.000000	 0.000000	 0.000000
 0.1567	 0.003503	 0.048790	 0.000000	 0.000000	 0.000000
 0.1636	 0.003814	 0.050795	 0.000000	 0.000000	 0.000000
 0.1706	 0.004137	 0.052778	 0.000000	 0.000000	 0.000000
 0.1776	 0.004473	 0.054738	 0.000000	 0.000000	 0.000000
 0.1845	 0.004820	 0.056675	 0.000000	 0.000000	 0.000000
 0.1915	 0.005180	 0.058589	 0.000000	 0.000000	 0.000000
 0.1985	 0.005552	 0.060480	 0.000000	 0.000000	 0.000000
 0.2054	 0.005935	 0.062497	 0.000000	 0.000000	 0.000000
 0.2124	 0.006332	 0.064505	 0.000000	 0.000000	 0.000000
 0.2194	 0.006740	 0.066505	 0.000000	 0.000000	 0.000000
 0.2263	 0.007162	 0.068496	 0.000000	 0.000000	 0.000000
 0.2333	 0.007595	 0.070479	 0.000000	 0.000000	 0.000000
 0.2403	 0.008041	 0.072452	 0.000000	 0.000000	 0.000000
