Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 23-Apr-2024 at 12:57:09.
IEA15 tower                                                                                        
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.24429E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	 0.000001	 0.000848	 0.000000	 0.000000	 0.000001
 0.0104	 0.000012	 0.002536	 0.000000	 0.000000	 0.000002
 0.0174	 0.000033	 0.004212	 0.000000	 0.000000	 0.000004
 0.0244	 0.000064	 0.005876	 0.000000	 0.000000	 0.000005
 0.0313	 0.000106	 0.007528	 0.000000	 0.000000	 0.000007
 0.0383	 0.000158	 0.009167	 0.000000	 0.000000	 0.000008
 0.0453	 0.000221	 0.010795	 0.000000	 0.000000	 0.000009
 0.0522	 0.000293	 0.012411	 0.000000	 0.000000	 0.000011
 0.0592	 0.000376	 0.014015	 0.000000	 0.000000	 0.000012
 0.0662	 0.000468	 0.015607	 0.000000	 0.000000	 0.000014
 0.0731	 0.000570	 0.017187	 0.000000	 0.000000	 0.000015
 0.0801	 0.000682	 0.018755	 0.000000	 0.000000	 0.000017
 0.0870	 0.000804	 0.020311	 0.000000	 0.000000	 0.000018
 0.0940	 0.000936	 0.021856	 0.000000	 0.000000	 0.000020
 0.1010	 0.001077	 0.023388	 0.000000	 0.000000	 0.000021
 0.1079	 0.001228	 0.025035	 0.000000	 0.000000	 0.000023
 0.1149	 0.001390	 0.026671	 0.000000	 0.000000	 0.000024
 0.1219	 0.001561	 0.028297	 0.000000	 0.000000	 0.000026
 0.1288	 0.001743	 0.029913	 0.000000	 0.000000	 0.000027
 0.1358	 0.001934	 0.031518	 0.000000	 0.000000	 0.000028
 0.1399	 0.002052	 0.032459	 0.000000	 0.000000	 0.000029
 0.1497	 0.002348	 0.034696	 0.000000	 0.000000	 0.000031
 0.1567	 0.002569	 0.036269	 0.000000	 0.000000	 0.000033
 0.1636	 0.002800	 0.037832	 0.000000	 0.000000	 0.000034
 0.1706	 0.003041	 0.039383	 0.000000	 0.000000	 0.000036
 0.1776	 0.003292	 0.040924	 0.000000	 0.000000	 0.000037
 0.1845	 0.003552	 0.042455	 0.000000	 0.000000	 0.000039
 0.1915	 0.003822	 0.043974	 0.000000	 0.000000	 0.000040
 0.1985	 0.004101	 0.045483	 0.000000	 0.000000	 0.000042
 0.2054	 0.004390	 0.047100	 0.000000	 0.000000	 0.000043
 0.2124	 0.004689	 0.048719	 0.000000	 0.000000	 0.000045
 0.2194	 0.004998	 0.050339	 0.000000	 0.000000	 0.000046
 0.2263	 0.005317	 0.051960	 0.000000	 0.000000	 0.000047
 0.2333	 0.005646	 0.053583	 0.000000	 0.000000	 0.000049
 0.2403	 0.005986	 0.055207	 0.000000	 0.000000	 0.000050
