Tower section properties
20        n_secs:     number of blade or tower sections at which properties are specified (-)

      sec_loc             str_tw              tw_iner            mass_den            flp_iner            edge_iner           flp_stff            edge_stff           tor_stff           axial_stff           cg_offst            sc_offst            tc_offst      
        (-)                (deg)               (deg)              (kg/m)              (kg-m)              (kg-m)              (Nm^2)              (Nm^2)              (Nm^2)                (N)                 (m)                 (m)                 (m)        
0.000000000000000E+00     0.0000              0.0000      1.031484441173360E+04       1.e-6               1.e-6       3.065446681730710E+12   3.065446681730710E+12   1.e+14                1.e+14              0.0                 0.0                 0.0
1.004745490238510E-01     0.0000              0.0000      1.031484441173360E+04       1.e-6               1.e-6       3.065446681730710E+12   3.065446681730710E+12   1.e+14                1.e+14              0.0                 0.0                 0.0
1.004822778353140E-01     0.0000              0.0000      9.523818531177400E+03       1.e-6               1.e-6       2.832084716093430E+12   2.832084716093430E+12   1.e+14                1.e+14              0.0                 0.0                 0.0
2.009490980477020E-01     0.0000              0.0000      9.453084405718950E+03       1.e-6               1.e-6       2.769450452002750E+12   2.769450452002750E+12   1.e+14                1.e+14              0.0                 0.0                 0.0
2.009568268591660E-01     0.0000              0.0000      8.761306059261840E+03       1.e-6               1.e-6       2.568166429175230E+12   2.568166429175230E+12   1.e+14                1.e+14              0.0                 0.0                 0.0
3.014236470715530E-01     0.0000              0.0000      8.333524388530640E+03       1.e-6               1.e-6       2.210055981076240E+12   2.210055981076240E+12   1.e+14                1.e+14              0.0                 0.0                 0.0
3.014313758830170E-01     0.0000              0.0000      7.943339505959190E+03       1.e-6               1.e-6       2.107286870484590E+12   2.107286870484590E+12   1.e+14                1.e+14              0.0                 0.0                 0.0
4.018981960954040E-01     0.0000              0.0000      7.428459476674180E+03       1.e-6               1.e-6       1.723500010954970E+12   1.723500010954970E+12   1.e+14                1.e+14              0.0                 0.0                 0.0
4.019059249068680E-01     0.0000              0.0000      7.087214160266680E+03       1.e-6               1.e-6       1.644879215976750E+12   1.644879215976750E+12   1.e+14                1.e+14              0.0                 0.0                 0.0
5.023727451192560E-01     0.0000              0.0000      6.538098082624470E+03       1.e-6               1.e-6       1.291405296742770E+12   1.291405296742770E+12   1.e+14                1.e+14              0.0                 0.0                 0.0
5.023804739307190E-01     0.0000              0.0000      6.197174861548130E+03       1.e-6               1.e-6       1.224548874057190E+12   1.224548874057190E+12   1.e+14                1.e+14              0.0                 0.0                 0.0
6.028472941431070E-01     0.0000              0.0000      5.616516314866140E+03       1.e-6               1.e-6       9.115849751112290E+11   9.115849751112290E+11   1.e+14                1.e+14              0.0                 0.0                 0.0
6.028550229545700E-01     0.0000              0.0000      5.253477923437150E+03       1.e-6               1.e-6       8.530980440238870E+11   8.530980440238870E+11   1.e+14                1.e+14              0.0                 0.0                 0.0
7.033218431669580E-01     0.0000              0.0000      4.910275969995680E+03       1.e-6               1.e-6       6.965892589608760E+11   6.965892589608760E+11   1.e+14                1.e+14              0.0                 0.0                 0.0
7.033295719784210E-01     0.0000              0.0000      4.334167603205980E+03       1.e-6               1.e-6       6.154309947959970E+11   6.154309947959970E+11   1.e+14                1.e+14              0.0                 0.0                 0.0
8.037963921908090E-01     0.0000              0.0000      4.232816565257490E+03       1.e-6               1.e-6       5.732589718113060E+11   5.732589718113060E+11   1.e+14                1.e+14              0.0                 0.0                 0.0
8.038041210022720E-01     0.0000              0.0000      3.673387789838780E+03       1.e-6               1.e-6       4.979639354642210E+11   4.979639354642210E+11   1.e+14                1.e+14              0.0                 0.0                 0.0
9.042709412146600E-01     0.0000              0.0000      3.577282612388080E+03       1.e-6               1.e-6       4.598937820986930E+11   4.598937820986930E+11   1.e+14                1.e+14              0.0                 0.0                 0.0
9.042786700261230E-01     0.0000              0.0000      4.120141253172980E+03       1.e-6               1.e-6       5.291723868157960E+11   5.291723868157960E+11   1.e+14                1.e+14              0.0                 0.0                 0.0
1.000000000000000E+00     0.0000              0.0000      4.074837331422720E+03       1.e-6               1.e-6       5.119078821628500E+11   5.119078821628500E+11   1.e+14                1.e+14              0.0                 0.0                 0.0
