Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 30-Aug-2023 at 13:49:27.
RAAW-GE Tower                                                                                      
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.24368E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	 0.000001	 0.000843	 0.000000	 0.000000	 0.000081
 0.0104	 0.000012	 0.002519	 0.000000	 0.000000	 0.000244
 0.0174	 0.000033	 0.004183	 0.000000	 0.000000	 0.000407
 0.0244	 0.000064	 0.005836	 0.000000	 0.000000	 0.000569
 0.0313	 0.000106	 0.007477	 0.000000	 0.000000	 0.000732
 0.0383	 0.000157	 0.009106	 0.000000	 0.000000	 0.000895
 0.0453	 0.000219	 0.010723	 0.000000	 0.000000	 0.001058
 0.0522	 0.000291	 0.012328	 0.000000	 0.000000	 0.001220
 0.0592	 0.000373	 0.013921	 0.000000	 0.000000	 0.001383
 0.0662	 0.000465	 0.015502	 0.000000	 0.000000	 0.001546
 0.0731	 0.000566	 0.017071	 0.000000	 0.000000	 0.001708
 0.0801	 0.000678	 0.018629	 0.000000	 0.000000	 0.001871
 0.0870	 0.000799	 0.020175	 0.000000	 0.000000	 0.002034
 0.0940	 0.000930	 0.021708	 0.000000	 0.000000	 0.002196
 0.1010	 0.001070	 0.023230	 0.000000	 0.000000	 0.002359
 0.1079	 0.001220	 0.024866	 0.000000	 0.000000	 0.002522
 0.1149	 0.001380	 0.026491	 0.000000	 0.000000	 0.002684
 0.1219	 0.001551	 0.028106	 0.000000	 0.000000	 0.002847
 0.1288	 0.001731	 0.029711	 0.000000	 0.000000	 0.003010
 0.1358	 0.001921	 0.031305	 0.000000	 0.000000	 0.003173
 0.1399	 0.002038	 0.032240	 0.000000	 0.000000	 0.003269
 0.1497	 0.002332	 0.034462	 0.000000	 0.000000	 0.003498
 0.1567	 0.002552	 0.036024	 0.000000	 0.000000	 0.003661
 0.1636	 0.002781	 0.037576	 0.000000	 0.000000	 0.003823
 0.1706	 0.003021	 0.039118	 0.000000	 0.000000	 0.003986
 0.1776	 0.003270	 0.040648	 0.000000	 0.000000	 0.004149
 0.1845	 0.003528	 0.042168	 0.000000	 0.000000	 0.004311
 0.1915	 0.003796	 0.043677	 0.000000	 0.000000	 0.004474
 0.1985	 0.004073	 0.045176	 0.000000	 0.000000	 0.004637
 0.2054	 0.004360	 0.046782	 0.000000	 0.000000	 0.004800
 0.2124	 0.004657	 0.048390	 0.000000	 0.000000	 0.004962
 0.2194	 0.004964	 0.049999	 0.000000	 0.000000	 0.005125
 0.2263	 0.005281	 0.051609	 0.000000	 0.000000	 0.005288
 0.2333	 0.005608	 0.053221	 0.000000	 0.000000	 0.005450
 0.2403	 0.005945	 0.054835	 0.000000	 0.000000	 0.005613
